file,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,title,severity,vulnerable,version
apps/showcase/src/main/java/org/apache/struts2/showcase/person/ListPeopleAction.java,class,5,5,0,5,3,2,0,3,0,0.5555556,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,1,0,3,0,0,1,0,0,15,3,0,0,0,0,2,1,2,0,3,0,0,0,0,22,1,0,0,0,0.0,2.3.20
core/src/test/java/org/apache/struts2/views/jsp/ui/TooltipTest.java,class,9,10,1,9,10,5,0,22,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,119,0,24,9,24,0,1,0,0,49,1,0,0,0,0.0,2.3.20
xwork-core/src/main/java/com/opensymphony/xwork2/conversion/impl/DefaultTypeConverterHolder.java,class,2,3,1,2,10,1,0,10,20,0.72222227,0.22222222,0.33333334,9,0,9,0,0,0,9,0,0,0,4,0,0,3,1,0,0,0,0,36,5,0,0,0,0,0,0,4,0,4,1,0,0,0,56,1,0,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/dispatcher/ng/listener/StrutsListener.java,class,6,6,0,6,3,1,0,8,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,24,0,0,1,1,0,0,0,5,0,4,2,0,0,0,48,1,0,0,0,0.0,2.3.20
plugins/json/src/main/java/org/apache/struts2/json/JSONValidationInterceptor.java,class,8,10,2,8,26,2,0,38,34,0.8703704,0.0,0.0,9,0,1,6,2,0,3,0,0,0,6,5,0,6,0,0,5,0,0,104,10,2,0,0,2,28,6,15,3,14,3,0,0,0,129,1,2,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/components/TextField.java,class,7,12,5,7,12,3,2,4,0,0.65,0.53571427,0.53571427,8,0,6,0,2,0,8,0,0,0,5,1,1,0,4,0,1,0,0,43,1,0,4,0,0,19,0,6,0,5,1,0,0,0,82,1,0,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/util/VelocityStrutsUtil.java,class,6,6,0,6,2,2,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,14,1,0,0,0,0,1,0,3,1,3,0,0,0,0,26,1,0,0,0,0.0,2.3.20
plugins/javatemplates/src/main/java/org/apache/struts2/views/java/simple/HiddenHandler.java,class,3,4,1,3,1,2,0,8,0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,16,0,2,0,2,0,0,0,0,12,1,0,0,0,0.0,2.3.20
plugins/javatemplates/src/main/java/org/apache/struts2/views/java/DefaultTheme.java,class,8,30,22,8,19,1,1,16,1,0.6111111,0.46666667,0.46666667,6,0,2,0,4,0,6,0,0,0,3,1,0,2,1,0,1,0,0,57,1,1,8,1,0,5,5,13,4,9,2,0,0,0,63,1,1,0,0,0.0,2.3.20
core/src/main/java/org/apache/struts2/views/velocity/components/FormDirective.java,class,6,7,1,6,3,3,0,0,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1,0,0,0,0.0,2.3.20
