file,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,version,title,severity,vulnerable
apache-tomcat-10.0.4-src/java/jakarta/el/JreCompat.java,java/jakarta/el/JreCompat.java,2,5,1,1,3,0.0,0.0,3,1,3,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,1,20,3,0,0,0,0,0,0,2,0,1,1,0,0,0,46,0,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/LambdaExpression.java,java/jakarta/el/LambdaExpression.java,5,9,1,11,0,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,3,0,4,45,2,1,2,1,1,2,3,12,0,9,2,0,0,0,24,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/ListELResolver.java,java/jakarta/el/ListELResolver.java,7,30,2,17,24,0.21428572,0.21428572,9,1,8,1,0,0,8,0,1,0,2,1,0,2,0,0,2,0,11,97,14,0,1,2,3,3,5,11,0,10,3,0,0,0,53,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/MapELResolver.java,java/jakarta/el/MapELResolver.java,5,17,2,23,16,0.21428572,0.21428572,8,0,8,0,0,0,8,0,0,0,2,1,0,2,0,0,2,0,6,79,10,1,0,1,3,3,0,8,0,7,2,0,0,0,46,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/MethodExpression.java,java/jakarta/el/MethodExpression.java,3,4,2,0,6,0.0,0.0,4,0,4,0,0,0,4,2,0,0,1,1,0,1,0,0,1,0,0,11,2,0,0,0,0,0,1,1,0,1,0,0,0,0,84,1025,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/MethodInfo.java,java/jakarta/el/MethodInfo.java,0,4,1,0,0,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,11,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/MethodNotFoundException.java,java/jakarta/el/MethodNotFoundException.java,1,4,5,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/PropertyNotFoundException.java,java/jakarta/el/PropertyNotFoundException.java,1,4,5,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/PropertyNotWritableException.java,java/jakarta/el/PropertyNotWritableException.java,1,4,5,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0,10,0,0,0.0
apache-tomcat-10.0.4-src/java/jakarta/el/ResourceBundleELResolver.java,java/jakarta/el/ResourceBundleELResolver.java,4,16,2,19,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,71,10,1,1,1,2,4,0,4,1,4,3,0,0,0,35,1,0,10,0,0,0.0
